title;summary;article_uri;account_name
智慧图书馆“风度书房”正式启用!手把手教你自助办理借书证;启用仪式在中山公园文化广场举行,活动现场近千名市民见证了智慧图书馆“风度书房”的启用亮灯仪式.省文化厅副厅长刘启宇,市...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=NSNE1YNTtJJv7wAKLv8gnHRY-0ExFdydt1KCbfgaVvsIkBBQ*qNNsM3r8wdHIyU0P2EGzVfaScvR3BzfeA68ZhuDROLZAvoCHvzCx4mC4KXtHmQbov9KMYCoT4c-H*Qc&new=1;韶关发布
惠州首家智慧图书馆正式落户,点亮书香校园“第三空间”;目前,惠州首家智慧图书馆已正式落户黄冈中学,并面向该校所有师生开放.智慧图书馆是由惠州新华书店提供技术支持和服务,图书...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=4Id3L*JTp06FIaY-jPujDe352u7*bBWZ2WUCakHUQ3xjSGKNgvY0DkoiLnI39iKbyHKwkj4FdeLzXNeHKBJ*Wa6g6fdrf3gfKVAUG4OO5VP*7YDOGEnU7wpXsB3Kckfy&new=1;惠州新华书店
24小时智慧图书馆正式开放#市规建局加强房地产市场管控、开展新型墙体材料下乡宣传活动#市编委办开展事业单位“双随机、一公开”工作;24小时智慧图书馆已建成并正式对外开放不需要管理员、24小时随时借书还书、藏书2000册、提供免费WIFI……近日,定州市24小时...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=p99imU-Hjx7G9CL9wd2YFPRzPEI-TMoOyzhrxFLcXlDiAFBELOWdlVorVoT4AOeSGEdX4nMJFn-y75yGB7QB-UcpuZQm5Sve8dxmJpWE8g8Ob9Q-QrSN7I8FjzflUOkN&new=1;定州政府微网
智慧图书馆建设为城市级运营服务提供新的入口,1月17日晚公开课圆满结束!;智慧图书馆因此应运而生,系统集成项目方兴未艾.据搜狗百科,智慧图书馆是指把智能技术运用到图书馆建设中而形成的一种智能化...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=WzQVuiPbiHMouBy5RQdzcvfp*UrSAFnAMCqlH-RXpbB1Ti0t*n30xTo3tX9eTJC3s7KPrbhdLLBz33RNLOwydZ-jlj*qv1W1*OAWtJH6o9sxXR1kPEYa5tG1th07boE4&new=1;智慧城市中国
智慧图书馆建设方兴未艾,诚邀参加1月17日晚9点线上公开课!;智慧图书馆因此应运而生,系统集成项目方兴未艾.据搜狗百科,智慧图书馆是指把智能技术运用到图书馆建设中而形成的一种智能化...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=WzQVuiPbiHMouBy5RQdzcvfp*UrSAFnAMCqlH-RXpbC1lXVP*7bcWAFpIepCqZCO5fi3eNGacgkkoFirDn5gKYqGgYAefk0vSevDfSQTjB0t1-Uy7rwC75xzAXOLs-En&new=1;智慧城市中国
【城事】花都首家智慧图书馆落户东风日产!;经过半年多的筹备花都区首个智慧图书馆分馆落户东风日产无须人工管理,早上7时至晚上10时可以随时借书还书,在馆内进行电子阅...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=03cvymXSKJ1p9iCAXl5*lvZFscq23QvKEyNYrHEtg7s2tjUAOE24586iKl88iZPv5Kn7QknWeOpvwPYi4MbSA6RPYQ5NiOByVRGOBw2g2ZaYEtqmU-nIDzI9x7P-SZWr&new=1;今日花都
智慧图书馆点开城市文化“第三空间”;整个上海公共图书馆系统平均每个月举办的活动超过两万场,涵盖讲座、展览、读书会、科普等各种类型.智慧转型的沪上公共图书馆...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=5mu25FX*fpZZc3BmhUryYKSM4AkFVjaokeqOgiW7rjo*l1VFRDEdfP9mHtUppBmKszY-9va5lI84vaGNFD6fNG0anwA1p5wtzAZ1PeZZy2d8YXbw8iNG6iLZ95uq0Nzd&new=1;书香上海
我县图书馆拟在中国微电影城设立“智慧图书馆”;下午,秀山县图书馆馆长付红英、副馆长伍雪芳来中国微电影城与微电影城招商负责人磋商成立24小时城市智慧图书馆相关事宜. 微...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=tT1wWY16CxpVAgfTVH8N1q89bUX5Jz1FLGxllLnC0vP7x-8kUwW1iJRzaYAGLrgS81zw-Yaqa3BOPNsTtDr0giVNZpEFvpL1fRRs5NyQGBDEBSvO7iCQxUzd7PmIx6uc&new=1;秀山物流园区
24小时智慧图书馆炼成记:就差你给它一个名字;我们邀请您一起参与这场试探性的革命:我们希望它的名字融汇着园区人不凡的智慧诚 邀 您为苏州工业园区24小时智慧图书馆命名首...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=86bmom8GRRq7mpxtE94jisR7-GCgFD1ebrU6RyYvVL1Cr8DjyH-RBvGarumlF0hKn911NUXmuaMDxi1VBfgVaz70MBrhrgovMpYCpHhMjDaCsiKaeEbXl1EoU7Y5R8ve&new=1;苏州独墅湖图书馆
霸州建成河北省首家县级24小时智慧图书馆!!;近日,河北省首家县级24小时智慧图书馆在霸州市建成并正式向公众开放.该图书馆是霸州市图书馆的分馆,位于李少春大剧院广场南...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195235&ver=665&signature=81v-5*LjiapasesHmkFGsV3GKLPg0ky8WQfulLQEPd3FVTvz83Zz2oxwBrXW0cLGhsnW6owWEsbiMkhBmqo6jwrdHCyMs1fW7EeS1iaYqLzEU45KmSufdKL1s8MzUB5b&new=1;霸州在线
